Word	df
electronic	6
eventually	6
exciting	6
fact	6
fast	6
five	6
forward	6
ground	6
half	6
improve	6
include	6
information	6
involved	6
isnt	6
itself	6
life	6
little	6
lower	6
market	6
mass	6
means	6
molecules	6
observations	6
parts	6
place	6
report	6
reported	6
researcher	6
say	6
six	6
structures	6
thats	6
took	6
toward	6
towards	6
u.s.	6
understand	6
ability	5
activity	5
actually	5
additional	5
advanced	5
advantage	5
ago	5
allowed	5
appear	5
applications	5
approximately	5
astronomers	5
atomic	5
available	5
away	5
based	5
believe	5
beyond	5
calif	5
came	5
camera	5
charge	5
chemical	5
close	5
communications	5
compared	5
course	5
david	5
day	5
design	5
designed	5
develop	5
done	5
driving	5
earlier	5
effect	5
efforts	5
experiment	5
explained	5
features	5
finally	5
flight	5
former	5
francisco	5
fully	5
given	5
history	5
hope	5
identified	5
impact	5
industry	5
instead	5
interest	5
international	5
investigator	5
iphone	5
jet	5
july	5
leading	5
looks	5
lot	5
low	5
major	5
medicine	5
models	5
molecular	5
near	5
needed	5
observe	5
office	5
often	5
opportunity	5
others	5
past	5
per	5
performed	5
phone	5
principal	5
problems	5
program	5
provide	5
rapidly	5
really	5
reasons	5
role	5
selected	5
share	5
she	5
should	5
shows	5
significant	5
simply	5
size	5
standard	5
star	5
success	5
suggest	5
technologies	5
thin	5
though	5
three	5
together	5
too	5
trying	5
turn	5
unusual	5
useful	5
whats	5
whole	5
youre	5
aboard	4
action	4
addition	4
address	4
agency	4
air	4
allegedly	4
allowing	4
allows	4
almost	4
along	4
amount	4
analysis	4
appears	4
becomes	4
behind	4
billion	4
bit	4
block	4
brian	4
buy	4
california	4
cancer	4
capabilities	4
capture	4
causes	4
ceo	4
certain	4
certainly	4
challenge	4
charges	4
clear	4
climate	4
co-author	4
combined	4
coming	4
commercial	4
common	4
communication	4
comparison	4
completely	4
complex	4
component	4
computers	4
conducted	4
continues	4
contrast	4
control	4
court	4
date	4
days	4
describing	4
details	4
dna	4
easily	4
electrons	4
enhance	4
entire	4
environment	4
environments	4
ever	4
evidence	4
exactly	4
excited	4
experience	4
explains	4
extreme	4
fall	4
field	4
filed	4
finds	4
force	4
formed	4
function	4
funding	4
further	4
gap	4
gene	4
give	4
goal	4
groups	4
growth	4
handled	4
happened	4
heard	4
higher	4
highly	4
hold	4
humans	4
hundreds	4
idea	4
identify	4
included	4
inside	4
internet	4
investigators	4
involving	4
john	4
keep	4
lab	4
late	4
launch	4
launched	4
layer	4
left	4
limited	4
liquid	4
long-term	4
lost	4
makes	4
manufacturing	4
measurements	4
medical	4
meet	4
members	4
method	4
michael	4
mission	4
missions	4
mobile	4
monitor	4
multiple	4
named	4
nanotubes	4
normal	4
noted	4
novel	4
ocean	4
operating	4
optical	4
option	4
orbit	4
phenomenon	4
physics	4
placed	4
planet	4
planned	4
plans	4
play	4
position	4
potentially	4
previous	4
processing	4
produce	4
production	4
products	4
promise	4
protein	4
proteins	4
provided	4
providing	4
rates	4
rather	4
reach	4
record	4
region	4
released	4
response	4
rest	4
robert	4
sciences	4
senior	4
sensitive	4
separate	4
side	4
signal	4
significantly	4
silicon	4
simple	4
smaller	4
smartphone	4
solve	4
something	4
sounds	4
spacecraft	4
specific	4
speed	4
standards	4
stars	4
station	4
students	4
studying	4
successful	4
successfully	4
suitable	4
sun	4
suns	4
sure	4
taken	4
target	4
temperatures	4
terms	4
tested	4
testing	4
tests	4
texas	4
therapy	4
theres	4
throughout	4
tiny	4
told	4
track	4
turned	4
twice	4
typical	4
until	4
uses	4
usually	4
via	4
video	4
view	4
washington	4
weeks	4
went	4
wide	4
wireless	4
works	4
your	4
accelerate	3
access	3
across	3
active	3
advance	3
aerospace	3
afternoon	3
age	3
alexander	3
alone	3
amazing	3
ancient	3
android	3
anything	3
apart	3
april	3
area	3
array	3
asked	3
associated	3
astrophysics	3
atmospheric	3
attached	3
attack	3
authors	3
base	3
bay	3
beginning	3
believes	3
bend	3
big	3
bigger	3
biological	3
black	3
blog	3
boulder	3
breakthrough	3
briefly	3
bring	3
built	3
cambridge	3
candidates	3
cant	3
carried	3
cause	3
cellular	3
central	3
centre	3
chairman	3
challenges	3
chance	3
changed	3
characteristics	3
chemistry	3
closer	3
cnet	3
coat	3
coats	3
comes	3
comment	3
completed	3
confirm	3
confirmed	3
connection	3
considered	3
consumers	3
continued	3
correct	3
crucial	3
dark	3
degrees	3
deliver	3
depths	3
deputy	3
detect	3
developing	3
differences	3
displays	3
distance	3
dramatically	3
drive	3
due	3
edge	3
effects	3
effort	3
eight	3
electric	3
enable	3
engineers	3
enhanced	3
ensure	3
every	3
examine	3
existed	3
experienced	3
explore	3
familiar	3
family	3
federal	3
fellow	3
fields	3
final	3
fixed	3
flexible	3
flow	3
focus	3
followed	3
following	3
free	3
full	3
gain	3
game	3
garden	3
general	3
generally	3
generate	3
genes	3
german	3
germany	3
getting	3
glass	3
gravity	3
great	3
greater	3
growing	3
guide	3
guilty	3
handsets	3
happen	3
happens	3
harvard	3
having	3
headquarters	3
health	3
hexagonal	3
host	3
ideas	3
imagine	3
improving	3
increase	3
incredibly	3
individual	3
initial	3
initially	3
instrument	3
integrate	3
integrated	3
intel	3
interact	3
interaction	3
interesting	3
investigation	3
involves	3
ios	3
jets	3
joint	3
kinds	3
knowledge	3
largely	3
larger	3
lasts	3
later	3
latest	3
layers	3
learned	3
linked	3
list	3
live	3
living	3
located	3
locations	3
los	3
magnetic	3
making	3
me	3
mechanical	3
methods	3
microsoft	3
miles	3
missing	3
modified	3
momentum	3
month	3
months	3
moved	3
moving	3
must	3
my	3
name	3
nanostructures	3
nanotube	3
necessary	3
newly	3
november	3
numbers	3
numerous	3
observatory	3
observed	3
obtained	3
offer	3
offered	3
onto	3
open	3
opposite	3
orbital	3
order	3
organic	3
organisms	3
organized	3
outer	3
outside	3
particular	3
pathway	3
patients	3
performs	3
phase	3
phones	3
photons	3
physical	3
picture	3
planning	3
postdoctoral	3
practical	3
precisely	3
predict	3
predicted	3
preliminary	3
presence	3
primarily	3
produced	3
projects	3
promising	3
proposed	3
prototype	3
provides	3
public	3
pure	3
put	3
putting	3
quarter	3
questions	3
radio	3
rapid	3
reactions	3
recently	3
regular	3
reliable	3
rely	3
remarkable	3
reports	3
respond	3
responsible	3
return	3
review	3
room	3
said:	3
satellite	3
satellites	3
saying	3
scientist	3
search	3
series	3
sets	3
setting	3
seven	3
site	3
sites	3
smartphones	3
someone	3
sometimes	3
sound	3
source	3
sources	3
specifically	3
speeds	3
spot	3
stable	3
stage	3
stages	3
start	3
started	3
step	3
stop	3
stored	3
straight	3
strategies	3
stream	3
strong	3
studied	3
suggested	3
suite	3
summer	3
support	3
surprise	3
surprised	3
surrounding	3
survive	3
takes	3
taking	3
targeting	3
tech	3
technique	3
techniques	3
telescope	3
thing	3
thinking	3
thus	3
total	3
traditional	3
transfer	3
transferred	3
travel	3
truly	3
type	3
types	3
understood	3
universities	3
unless	3
unlike	3
unprecedented	3
users	3
various	3
viewed	3
wall	3
weather	3
weight	3
well-known	3
whether	3
wonder	3
worlds	3
zinc	3
above	2
academy	2
accept	2
account	2
accuracy	2
acoustic	2
actual	2
adapt	2
add	2
added	2
adhesion	2
adults	2
advances	2
affects	2
again	2
agencies	2
alamos	2
aligned	2
alleged	2
allow	2
aluminum	2
ammonia	2
analyzed	2
andre	2
angular	2
announced	2
answer	2
appearance	2
appeared	2
appearing	2
application	2
applied	2
approaches	2
approve	2
approved	2
apps	2
architecture	2
areas	2
argued	2
arise	2
arraignment	2
arranged	2
arrived	2
assess	2
astronauts	2
at&t	2
atmosphere	2
atop	2
authority	2
bacteria	2
bacterial	2
ball	2
basis	2
beer	2
begin	2
beneath	2
benefit	2
bind	2
binding	2
binds	2
birth	2
blame	2
blocks	2
blowing	2
bluetooth	2
bodies	2
boosters	2
bound	2
brain	2
brand	2
break	2
bright	2
brightening	2
broadly	2
build	2
bulk	2
business	2
calculated	2
campaign	2
campus	2
cancers	2
candidate	2
cannot	2
capable	2
carries	2
carry	2
carrying	2
cases	2
catalyst	2
catalytic	2
celsius	2
century	2
chamber	2
characteristic	2
charged	2
check	2
chemically	2
children	2
chip	2
choice	2
city	2
claims	2
clinical	2
cloud	2
clouds	2
clues	2
cnets	2
coating	2
coauthor	2
cold	2
collected	2
collective	2
college	2
collide	2
collision	2
collisions	2
colo	2
combination	2
combining	2
commented	2
community	2
companion	2
companys	2
compare	2
comparing	2
compelling	2
competition	2
competitors	2
complaint	2
complement	2
complete	2
composition	2
compounds	2
computing	2
concept	2
concerned	2
concerns	2
concert	2
conference	2
connected	2
connections	2
consequences	2
consistently	2
consists	2
contacted	2
container	2
continue	2
continuous	2
contribute	2
cooler	2
corp	2
corporation	2
correlated	2
cosmic	2
cost	2
costs	2
covering	2
crew	2
criminal	2
crystal	2
customers	2
customized	2
cut	2
cutting	2
cycle	2
cycles	2
dean	2
death	2
decades	2
decided	2
decision	2
declined	2
deep	2
defects	2
defendants	2
defense	2
defined	2
dell	2
demand	2
demonstrated	2
described	2
designers	2
desirable	2
despite	2
detail	2
detected	2
detection	2
determined	2
diego	2
difficult	2
dioxide	2
directed	2
direction	2
directions	2
directly	2
discoveries	2
discovering	2
discussion	2
disease	2
diseases	2
disk	2
dismissed	2
disorders	2
disrupted	2
district	2
division	2
doesnt	2
doing	2
door	2
drawn	2
driven	2
dual	2
dubbed	2
duke	2
durable	2
dynamic	2
earths	2
easier	2
easy	2
eating	2
ecology	2
edition	2
efficiency	2
either	2
electrode	2
electrodes	2
emerging	2
emit	2
emphasized	2
employee	2
enabled	2
enabling	2
end	2
endeavour	2
ended	2
energetic	2
energies	2
engineer	2
engineered	2
entirely	2
environmental	2
envisioned	2
equipment	2
era	2
escape	2
especially	2
essential	2
essentially	2
estimates	2
events	2
evolution	2
evolutionary	2
excess	2
executive	2
existing	2
expansion	2
expect	2
expectations	2
experimental	2
expert	2
exploration	2
expressed	2
extended	2
external	2
extra	2
extraordinary	2
eye	2
face	2
facilitate	2
facility	2
factor	2
failed	2
faint	2
fair	2
falls	2
felt	2
fewer	2
fight	2
figure	2
filled	2
film	2
firm	2
flare	2
flares	2
flexibility	2
floor	2
florida	2
focused	2
follow	2
forecasting	2
forecasts	2
formation	2
forming	2
forthcoming	2
foundation	2
fraction	2
fragile	2
frustrated	2
functional	2
galaxies	2
galaxy	2
games	2
gave	2
geim	2
generated	2
genome	2
gives	2
gizmodo	2
go	2
goddard	2
google	2
googles	2
got	2
government	2
graduate	2
graphene	2
graphene-based	2
graphenes	2
greenbelt	2
ground-based	2
grow	2
grown	2
handheld	2
hands-on	2
hanna	2
happy	2
hard	2
hardware	2
harvard-smithsonian	2
harvesting	2
hasnt	2
havent	2
head	2
hear	2
heart	2
heated	2
heels	2
helped	2
helps	2
her	2
heres	2
hidden	2
high-energy	2
high-frequency	2
highest	2
highlighting	2
hit	2
holding	2
holds	2
hole	2
holes	2
hopes	2
hours	2
house	2
hubble	2
huge	2
hypothesis	2
ice	2
image	2
imager	2
images	2
immediate	2
immediately	2
importance	2
improved	2
improvement	2
improvements	2
includes	2
indeed	2
indicate	2
indicated	2
indicates	2
indication	2
infectious	2
influence	2
infrastructure	2
injected	2
inner	2
innovation	2
insights	2
instruments	2
intended	2
intense	2
interested	2
internal	2
invention	2
investigating	2
ipad	2
issued	2
italy	2
jim	2
job	2
jose	2
judge	2
julia	2
june	2
justice	2
kept	2
kids	2
labs	2
lack	2
land	2
landing	2
laptops	2
largest	2
las	2
lasted	2
lattice	2
law	2
lawsuit	2
leader	2
leads	2
leave	2
legal	2
lets	2
letters	2
level	2
levels	2
license	2
licenses	2
licensing	2
limits	2
line	2
link	2
loading	2
local	2
location	2
looked	2
lose	2
loss	2
magnetism	2
main	2
maintain	2
maintaining	2
maintenance	2
managed	2
management	2
manager	2
managing	2
manchester	2
manipulate	2
manufacturers	2
march	2
markedly	2
mars	2
massive	2
match	2
matter	2
md	2
mean	2
meanwhile	2
measured	2
mechanism	2
member	2
memory	2
men	2
merge	2
merger	2
metal	2
meteorologists	2
microbial	2
microgravity	2
microorganisms	2
microscopic	2
milky	2
millions	2
misdemeanor	2
missed	2
mobility	2
modern	2
molecule	2
money	2
monitoring	2
monitors	2
mostly	2
motion	2
motorola	2
move	2
nanometer	2
nanoscale	2
narrow	2
naturally	2
nearly	2
negative	2
negatively	2
neighborhood	2
network	2
networks	2
news	2
niels	2
nine	2
nobel	2
nor	2
north	2
notes	2
nothing	2
novoselov	2
objective	2
objects	2
observation	2
occur	2
occurring	2
oceans	2
october	2
officials	2
old	2
onboard	2
ones	2
onset	2
operate	2
operates	2
operational	2
operations	2
organizations	2
outflow	2
overall	2
owned	2
package	2
paint	2
pair	2
panel	2
parent	2
participated	2
particularly	2
pasadena	2
patch	2
patents	2
pathways	2
patterns	2
pcs	2
peak	2
penetrates	2
penn	2
perfect	2
perform	2
period	2
permission	2
person	2
photos	2
physicists	2
piece	2
plan	2
plants	2
platform	2
player	2
plos	2
points	2
police	2
positive	2
possibility	2
possibly	2
post	2
post-doctoral	2
practice	2
prediction	2
predictions	2
pressure	2
prevented	2
price	2
prices	2
primary	2
prime	2
prior	2
prize	2
probably	2
processes	2
producing	2
product	2
promises	2
properly	2
property	2
proposal	2
propulsion	2
publicly	2
pulse	2
purposes	2
push	2
qualities	2
quality	2
quantum	2
question	2
quickly	2
quite	2
radiation	2
raises	2
rare	2
rate	2
react	2
read	2
ready	2
received	2
receiving	2
receptors	2
records	2
recruit	2
reduce	2
redwood	2
referred	2
regardless	2
related	2
relation	2
release	2
remarkably	2
remember	2
renewable	2
repeated	2
repeatedly	2
replace	2
require	2
required	2
requirements	2
resistant	2
resolution	2
resources	2
reveal	2
revealed	2
rice	2
ridge	2
run	2
running	2
safe	2
saw	2
scenario	2
scheduled	2
secret	2
seeing	2
seem	2
seems	2
selectively	2
sending	2
sense	2
sensors	2
sequence	2
serious	2
serve	2
serves	2
service	2
services	2
set	2
seventh	2
shape	2
sheets	2
shine	2
shining	2
showing	2
signaling	2
signals	2
signatures	2
signs	2
simultaneously	2
so-called	2
social	2
software	2
sold	2
solid	2
solutions	2
solved	2
soon	2
sort	2
specially	2
spend	2
spent	2
split	2
spots	2
sprint	2
stanford	2
starting	2
statement	2
states	2
static	2
stating	2
stellar	2
steve	2
sticky	2
stimulates	2
storage	2
store	2
strain	2
streaming	2
strength	2
stress	2
strongly	2
student	2
subsequently	2
substantially	2
substrate	2
suddenly	2
sugars	2
suggests	2
suit	2
sunlight	2
supported	2
supporting	2
surprisingly	2
survey	2
sustained	2
switch	2
symptoms	2
tablet	2
taiwan	2
talks	2
tape	2
targeted	2
task	2
teams	2
temperature	2
theoretical	2
theory	2
therapies	2
therefore	2
theyre	2
thinnest	2
thought	2
thousands	2
todays	2
tools	2
traced	2
transistors	2
transparent	2
transport	2
treatment	2
treatments	2
trials	2
tried	2
true	2
try	2
tumor	2
tv	2
twin	2
two-dimensional	2
u.k.	2
uc	2
uncover	2
uncovered	2
undergo	2
unexpected	2
unreleased	2
usa	2
utility	2
vaccine	2
value	2
values	2
vehicle	2
verizon	2
versatile	2
vienna	2
viral	2
virus	2
vision	2
visited	2
voice	2
vulnerable	2
walls	2
wanted	2
warming	2
wave	2
wavelengths	2
waves	2
ways	2
werent	2
whos	2
wi-fi	2
widely	2
window	2
wings	2
winning	2
worked	2
worldwide	2
wouldnt	2
wrote	2
x-ray	2
x-rays	2
yesterday	2
yield	2
young	2
younger	2
a.m.	1
a380	1
aarhus	1
aaron	1
aberration-corrected	1
abnormalities	1
absence	1
absolutely	1
absorbed	1
absorbs	1
abstract	1
abundance	1
abundant	1
abundantly	1
ac-hrtem	1
academia	1
academic	1
academics	1
accelerated	1
accelerometer	1
accepted	1
accident	1
accidental	1
accidentally	1
accommodate	1
accompanied	1
accomplish	1
accretion	1
accurate	1
acer	1
acetylene	1
achieve	1
achilles	1
acid	1
acidic	1
acknowledged	1
acknowledging	1
acoustics	1
acq	1
acquired	1
acquiring	1
acquisition	1
act	1
activated	1
activating	1
actively	1
activists	1
activities	1
actuality	1
acuity	1
adaptation	1
added:	1
additionally	1
addressing	1
adenocarcinoma	1
adequately	1
adhesive	1
administration	1
adoption	1
adrenaline	1
adrenoceptors	1
advantages	1
adverse	1
advice	1
advisor	1
advisors	1
affect	1
affiliated	1
africa	1
afterward	1
agencys	1
agents	1
ages	1
aggressive	1
aging	1
agree	1
agreeing	1
agreements	1
aid	1
aided	1
aim	1
aimed	1
aiming	1
aircraft	1
aircraft-like	1
airline	1
airplane	1
airplanes	1
akin	1
alan	1
albert	1
alcatel-lucent	1
ald	1
alerted	1
algorithm	1
alive	1
all-or-nothing	1
all-sky	1
alleges	1
allergy	1
alliance	1
aloud	1
alterations	1
altered	1
altitude	1
aluminum-doped	1
always	1
alzheimers	1
amazed	1
amazon	1
amazons	1
ambient	1
amblyopia	1
america	1
american	1
amorphous	1
amounts	1
amsuss	1
analyses	1
analytical	1
analyze	1
anatoli	1
anatoliy	1
andrea	1
andrei	1
androids	1
angeles-based	1
angle	1
angles	1
animal	1
animals	1
anne	1
annual	1
anonymizing	1
anonymous	1
answering	1
answers	1
antenna	1
anthony	1
anthropology	1
anti-cancer	1
anti-tumour	1
antibiotic	1
antibiotics	1
antibodies	1
antibody	1
anticipated	1
anticipating	1
anymore	1
anyone	1
anyway	1
anywhere	1
app	1
apparently	1
appeal	1
applause	1
apple:	1
apples	1
apply	1
appreciated	1
appropriates	1
approval	1
aquaculture	1
aquarium	1
aquatic	1
arc	1
archaea	1
archaeocete	1
archaeocetes	1
argues	1
arguing	1
arizona	1
arm	1
army	1
arraignments	1
arrested	1
arrestin	1
arrests	1
arrival	1
arrives	1
arrowhead	1
article	1
artificial	1
artiodactyls	1
arvidson	1
ashley	1
ashtabula	1
aspect	1
aspects	1
aspuru-guzik	1
assault	1
assaulted	1
assembly	1
assets	1
assigned	1
assistant	1
assisted	1
associates	1
association	1
assumed	1
assuming	1
asteroid	1
astonished	1
astonishment	1
astray	1
astronomer	1
astronomical	1
astronomy	1
astrophysical	1
astrotech	1
asymmetric	1
asymmetrical	1
asymmetry	1
ate	1
atlantic	1
atmospheres	1
atom	1
atomically	1
attacks	1
attempt	1
attempting	1
attempts	1
attitude	1
attorney	1
attorneys	1
attract	1
attracting	1
attraction	1
attractive	1
attributed	1
au	1
audience	1
augment	1
austin	1
authorities	1
automatically	1
avenue	1
average	1
aversion	1
awakening	1
awarded	1
aware	1
awareness	1
axis	1
b	1
backlash	1
backlight	1
backlit	1
backlit-only	1
backward	1
bad	1
balance	1
baleen	1
ballmer	1
bandgap	1
bao	1
bar	1
barnes	1
barton	1
basic	1
basically	1
basilosaurus	1
batteries	1
battery	1
battles	1
bayer	1
beach	1
beaded-jet	1
beam	1
beamed	1
beaming	1
becoming	1
bedrock	1
began	1
begins	1
behalf	1
behaves	1
behavior	1
belief	1
believed	1
bell	1
belonging	1
below	1
bench	1
benchmark	1
beneficially	1
benefits	1
benioff	1
berger	1
berkeley	1
bernal	1
beside	1
bet	1
beta	1
beta-arrestin-1	1
beta2-adrenoreceptors	1
beta2ars	1
beth	1
bid	1
bigelow	1
biggest	1
bigwigs	1
billions	1
bing	1
bio-implants	1
biologist	1
biologists	1
biomedical	1
biomes	1
biopsies	1
biosciences	1
biotherpeutics	1
birthing	1
bisected	1
bison	1
bite	1
blackberry	1
blackouts	1
blade	1
blades	1
blank	1
blasts	1
bleaker	1
bleed	1
blemishes	1
blinding	1
blister	1
blockade	1
blocked	1
blockers	1
blood	1
bloodstream	1
blow	1
blue	1
blueprint	1
blurred	1
board	1
bob	1
bogus	1
bohr	1
boiling	1
bonded	1
bone	1
bonus	1
books	1
boon	1
boost	1
boosted	1
booster	1
boosts	1
born	1
borne	1
botany	1
bought	1
boutros	1
box	1
brakes	1
brand:	1
brands	1
bridge	1
brighten	1
brighter	1
brightness	1
brilliant	1
broad	1
broadband	1
broadcom	1
broader	1
broken	1
bromine	1
brought	1
brown	1
bud	1
budding	1
budget	1
build-up	1
built-in	1
bulge	1
bumping	1
bunch	1
bundle	1
bundles	1
buoyancy	1
burial	1
burn	1
burrows	1
burst	1
bursts	1
businesses	1
busy	1
butte	1
butterflys	1
buyers	1
buying	1
byproduct	1
c2h2	1
cable	1
cables	1
cady	1
caesium	1
cafeteria	1
cal	1
calculations	1
calderon	1
calibration	1
californias	1
call	1
callas	1
calls	1
caltechs	1
campanas	1
canada	1
canadian	1
cancer-fighting	1
cannon	1
canplay	1
capacitance	1
capacitor	1
capacitors	1
cape	1
captured	1
captures	1
car	1
cardiovascular	1
careful	1
carefully	1
cargo	1
carolina	1
carpets	1
carrier	1
carriers	1
cary	1
cash	1
cast	1
catalysts	1
catalytically	1
catching	1
catecholamine-induced	1
catecholamines	1
caused	1
cautions	1
cava22	1
cavity	1
cbe	1
cdma	1
censorship	1
cent	1
centauri	1
centered	1
certification	1
cfa	1
cfd	1
chabad	1
chain	1
chairs	1
challenging	1
chances	1
chandra	1
chandras	1
changing	1
characteristics:	1
characterize	1
characterizing	1
charge-discharge	1
chart	1
charter	1
chat	1
chavi	1
cheap	1
cheaper	1
cheapo	1
checkered	1
chemist	1
chen	1
chew	1
chewing	1
chicken	1
chief	1
child	1
chile	1
chinook	1
choices	1
choose	1
chosen	1
chrome	1
chromium	1
chromosome	1
chronic	1
circuit	1
circuits	1
circular	1
circulation	1
cited	1
citrix	1
citys	1
clamp	1
clarity	1
clark	1
class	1
classes	1
classic	1
classified	1
classroom	1
clay	1
clean	1
clearly	1
climbed	1
closely	1
closely-spaced	1
closest	1
closing	1
club	1
clue	1
clumps	1
clumpy	1
cm	1
cmes	1
co	1
co-authors	1
co-founded	1
co-senior	1
co-workers	1
coast	1
coated	1
coatings	1
coauthors	1
code	1
coding	1
cohen	1
coldest	1
coleman	1
colemans	1
collaborative	1
collaborator	1
collaborators	1
collect	1
collecting	1
collections	1
collegiate	1
colon	1
color	1
colorado	1
colorfully	1
combine	1
comcast	1
comerford	1
commanding	1
commented:	1
comments	1
commission	1
commissioner	1
commonly	1
commonplace	1
communitys	1
compact	1
comparable	1
comparative	1
competitive	1
completes	1
compliance	1
complicate	1
composite	1
composites	1
compositional	1
compound	1
comprehensively	1
computation	1
computational	1
computationally	1
concave	1
conceive	1
conceiving	1
concentrated	1
concentration	1
concepts	1
conceptual	1
conclusive	1
condense	1
condition	1
conducting	1
conductive	1
conductivity	1
confident	1
confirmation	1
conform	1
congenital	1
connect	1
connectivity	1
consecutive	1
consensual	1
consent	1
conserve	1
consider	1
considerably	1
consideration	1
considering	1
consistent	1
consortia	1
conspiracy	1
constantly	1
constellation	1
construct	1
constructing	1
construction	1
consume	1
consumed	1
consumer	1
contact	1
contacting	1
contain	1
containers	1
containing	1
contains	1
contemporary	1
context	1
continuing	1
contraceptive	1
contradictory	1
contraire	1
contrasts	1
contributed	1
contributing	1
contribution	1
controversial	1
conversation	1
convert	1
cool	1
cooled	1
coolest	1
coordinating	1
coordinator	1
copenhagen	1
copper	1
copps	1
copy	1
cores	1
cornell	1
coronal	1
corporations	1
corralled	1
corrected	1
correctly	1
corresponding	1
cortex	1
council	1
counsel	1
counterelectrode	1
counterparts	1
countrys	1
county	1
coupled	1
couples	1
courageous	1
court-appointed	1
courtroom	1
courts	1
cover	1
coverage	1
covered	1
cowles	1
cpu	1
craft	1
crater	1
craters	1
crazy	1
creates	1
creation	1
creativity	1
creek	1
creeks	1
crime	1
criteria	1
criticism	1
criticized	1
critics	1
crn	1
crowd-source	1
crystals	1
ct	1
cu	1
cu-boulder	1
culmination	1
cultivated	1
cupertino	1
curb	1
curious	1
curl	1
curling	1
cushing	1
cycling	1
d.c	1
daily	1
damage	1
dams	1
dangerfield	1
danish	1
dating	1
dave	1
davis	1
davy	1
dawned	1
day-by-day	1
ddos	1
deaconess	1
deal	1
debated	1
debut	1
decade	1
decembers	1
decide	1
decidedly	1
decipher	1
declan	1
declaration	1
decompose	1
dedicated	1
deduced	1
deep-dive	1
deeply	1
defect	1
defies	1
defining	1
definition	1
definitively	1
deform	1
deformation	1
degradation	1
degroote	1
delamination	1
delaware	1
deleted	1
deleterious	1
deleting	1
delicate	1
delivered	1
delivers	1
delivery	1
delta	1
demise	1
demo	1
democratic	1
demonstrates	1
denial-of-service	1
denmark	1
dennis	1
dense	1
departments	1
depend	1
depends	1
depict	1
deployments	1
deposition	1
depth	1
depths:	1
der	1
derek	1
derived	1
describes	1
desert-based	1
desired	1
desktop	1
desktops	1
destination	1
destinations	1
destined	1
destroyed	1
destroys	1
detailed	1
detained	1
detectable	1
detectors	1
determining	1
detonation	1
detrimental	1
deutsche	1
developed:	1
develops	1
deviate	1
deviation	1
devising	1
devoured	1
dhvi	1
diagnosing	1
dial	1
diameter	1
diamond	1
diamonds	1
died	1
diederichs	1
dielectric	1
difference	1
differentiating	1
differently	1
difficult-to-induce	1
digital	1
dignan	1
dimiter	1
dimitrov	1
dimming	1
diplomatic	1
direct	1
directional	1
disappear	1
