0 ['reuse', 'reliability', 'will']
301 ['development', 'among', 'the']
302 ['among', 'the', 'markets']
303 ['the', 'markets', 'that']
304 ['markets', 'that', 'could']
305 ['that', 'could', 'provide']
306 ['could', 'provide', 'that']
307 ['provide', 'that', 'spark']
308 ['that', 'spark', 'are']
309 ['spark', 'are', 'orbital']
310 ['are', 'orbital', 'space']
311 ['orbital', 'space', 'tourism']
312 ['space', 'tourism', 'even']
313 ['tourism', 'even', 'limited']
314 ['even', 'limited', 'demand']
315 ['limited', 'demand', 'for']
316 ['demand', 'for', 'space-based']
317 ['for', 'space-based', 'solar']
318 ['space-based', 'solar', 'power']
319 ['solar', 'power', 'generation']
320 ['power', 'generation', 'and']
321 ['generation', 'and', 'high']
322 ['and', 'high', 'speed']
323 ['high', 'speed', 'transport']
324 ['speed', 'transport', 'services']
325 ['transport', 'services', 'to']
326 ['services', 'to', 'travel']
327 ['to', 'travel', 'from']
328 ['travel', 'from', 'point-to-point']
329 ['from', 'point-to-point', 'on']
330 ['point-to-point', 'on', 'the']
331 ['the', 'planet', 'thats']
332 ['planet', 'thats', 'where']
333 ['thats', 'where', 'you']
334 ['where', 'you', 'need']
335 ['you', 'need', 'to']
336 ['need', 'to', 'spend']
337 ['to', 'spend', 'your']
338 ['spend', 'your', 'energy']
339 ['your', 'energy', 'to']
340 ['energy', 'to', 'make']
341 ['to', 'make', 'aircraft-like']
342 ['make', 'aircraft-like', 'operations']
343 ['aircraft-like', 'operations', 'for']
344 ['operations', 'for', 'these']
345 ['for', 'these', 'kinds']
346 ['these', 'kinds', 'of']
347 ['kinds', 'of', 'vehicles']
348 ['of', 'vehicles', 'penn']
349 ['vehicles', 'penn', 'said']
350 ['penn', 'said', 'kennedy']
351 ['said', 'kennedy', 'with']
352 ['kennedy', 'with', 'unique']
353 ['with', 'unique', 'facilities']
354 ['unique', 'facilities', 'such']
355 ['facilities', 'such', 'as']
356 ['such', 'as', 'the']
357 ['as', 'the', 'vehicle']
358 ['the', 'vehicle', 'assembly']
359 ['vehicle', 'assembly', 'building']
360 ['assembly', 'building', 'and']
361 ['building', 'and', 'a']
362 ['and', 'a', 'runway']
363 ['a', 'runway', 'long']
364 ['runway', 'long', 'enough']
365 ['long', 'enough', 'to']
366 ['enough', 'to', 'host']
367 ['to', 'host', 'space-going']
368 ['host', 'space-going', 'vehicles']
369 ['space-going', 'vehicles', 'could']
370 ['vehicles', 'could', 'find']
371 ['could', 'find', 'itself']
372 ['find', 'itself', 'in']
373 ['itself', 'in', 'key']
374 ['in', 'key', 'support']
375 ['key', 'support', 'roles']
376 ['support', 'roles', 'for']
377 ['roles', 'for', 'the']
378 ['for', 'the', 'new']
379 ['the', 'new', 'spacecraft']
380 ['new', 'spacecraft', 'jim']
381 ['spacecraft', 'jim', 'ball']
382 ['jim', 'ball', 'the']
383 ['ball', 'the', 'deputy']
384 ['the', 'deputy', 'of']
385 ['deputy', 'of', 'kennedys']
386 ['of', 'kennedys', 'center']
387 ['kennedys', 'center', 'planning']
388 ['center', 'planning', 'and']
389 ['planning', 'and', 'development']
390 ['and', 'development', 'office']
391 ['development', 'office', 'said']
392 ['office', 'said', 'his']
393 ['said', 'his', 'office']
394 ['his', 'office', 'is']
395 ['office', 'is', 'leading']
396 ['is', 'leading', 'the']
397 ['leading', 'the', 'effort']
398 ['the', 'effort', 'to']
399 ['effort', 'to', 'craft']
400 ['to', 'craft', 'a']
401 ['craft', 'a', 'future']
402 ['a', 'future', 'development']
403 ['future', 'development', 'concept']
404 ['development', 'concept', 'and']
405 ['concept', 'and', 'revised']
406 ['and', 'revised', 'master']
407 ['revised', 'master', 'plan']
408 ['master', 'plan', 'for']
409 ['plan', 'for', 'ksc']
410 ['for', 'ksc', 'to']
411 ['ksc', 'to', 'position']
412 ['to', 'position', 'it']
413 ['position', 'it', 'for']
414 ['it', 'for', 'future']
415 ['for', 'future', 'needs']
416 ['future', 'needs', 'the']
417 ['needs', 'the', 'plan']
418 ['the', 'plan', 'will']
419 ['plan', 'will', 'provide']
420 ['will', 'provide', 'a']
421 ['provide', 'a', 'guide']
422 ['a', 'guide', 'for']
423 ['guide', 'for', 'the']
424 ['for', 'the', 'overall']
425 ['the', 'overall', 'development']
426 ['overall', 'development', 'of']
427 ['development', 'of', 'the']
428 ['of', 'the', 'center']
429 ['the', 'center', 'for']
430 ['center', 'for', 'the']
431 ['for', 'the', 'next']
432 ['the', 'next', 'several']
433 ['next', 'several', 'decades']
434 ['several', 'decades', 'ball']
435 ['decades', 'ball', 'said']
436 ['ball', 'said', 'penns']
437 ['said', 'penns', 'study']
438 ['penns', 'study', 'was']
439 ['study', 'was', 'not']
440 ['was', 'not', 'necessarily']
441 ['not', 'necessarily', 'a']
442 ['necessarily', 'a', 'prediction']
443 ['a', 'prediction', 'of']
444 ['prediction', 'of', 'where']
445 ['of', 'where', 'the']
446 ['where', 'the', 'space']
447 ['the', 'space', 'launch']
448 ['space', 'launch', 'industry']
449 ['launch', 'industry', 'will']
450 ['industry', 'will', 'be']
451 ['will', 'be', 'in']
452 ['be', 'in', 'the']
453 ['the', 'coming', 'decades']
454 ['coming', 'decades', 'as']
455 ['decades', 'as', 'much']
456 ['as', 'much', 'as']
457 ['much', 'as', 'a']
458 ['as', 'a', 'look']
459 ['a', 'look', 'at']
460 ['look', 'at', 'what']
461 ['at', 'what', 'it']
462 ['what', 'it', 'could']
463 ['it', 'could', 'be']
464 ['could', 'be', 'for']
465 ['be', 'for', 'now']
466 ['for', 'now', 'nasa']
467 ['now', 'nasa', 'is']
468 ['nasa', 'is', 'focused']
469 ['is', 'focused', 'on']
470 ['focused', 'on', 'a']
471 ['on', 'a', 'budding']
472 ['a', 'budding', 'commercial']
473 ['budding', 'commercial', 'industry']
474 ['commercial', 'industry', 'aiming']
475 ['industry', 'aiming', 'to']
476 ['aiming', 'to', 'launch']
477 ['to', 'launch', 'cargo']
478 ['launch', 'cargo', 'and']
479 ['cargo', 'and', 'astronauts']
480 ['and', 'astronauts', 'to']
481 ['astronauts', 'to', 'the']
482 ['to', 'the', 'international']
483 ['the', 'international', 'space']
484 ['international', 'space', 'station']
485 ['space', 'station', 'the']
486 ['station', 'the', 'agency']
487 ['the', 'agency', 'is']
488 ['agency', 'is', 'also']
489 ['is', 'also', 'working']
490 ['also', 'working', 'toward']
491 ['working', 'toward', 'a']
492 ['toward', 'a', 'launch']
493 ['a', 'launch', 'and']
494 ['launch', 'and', 'space']
495 ['and', 'space', 'infrastructure']
496 ['space', 'infrastructure', 'supporting']
497 ['infrastructure', 'supporting', 'astronauts']
498 ['supporting', 'astronauts', 'on']
499 ['astronauts', 'on', 'missions']
500 ['on', 'missions', 'to']
501 ['missions', 'to', 'an']
502 ['to', 'an', 'asteroid']
503 ['an', 'asteroid', 'the']
504 ['asteroid', 'the', 'moon']
505 ['the', 'moon', 'or']
506 ['moon', 'or', 'mars']
507 ['or', 'mars', 'so']
508 ['mars', 'so', 'what']
509 ['so', 'what', 'would']
510 ['what', 'would', 'the']
511 ['would', 'the', 'spacecraft']
512 ['the', 'spacecraft', 'look']
513 ['spacecraft', 'look', 'like']
514 ['look', 'like', 'that']
515 ['like', 'that', 'could']
516 ['that', 'could', 'accomplish']
517 ['could', 'accomplish', 'an']
518 ['accomplish', 'an', 'unprecedented']
519 ['an', 'unprecedented', 'flight']
520 ['unprecedented', 'flight', 'rate']
521 ['flight', 'rate', 'well']
522 ['rate', 'well', 'it']
523 ['well', 'it', 'would']
524 ['it', 'would', 'have']
525 ['would', 'have', 'a']
526 ['have', 'a', 'large']
527 ['a', 'large', 'first']
528 ['large', 'first', 'stage']
529 ['first', 'stage', 'booster']
530 ['stage', 'booster', 'with']
531 ['booster', 'with', 'wings']
532 ['with', 'wings', 'and']
533 ['wings', 'and', 'landing']
534 ['and', 'landing', 'gear']
535 ['landing', 'gear', 'so']
536 ['gear', 'so', 'it']
537 ['so', 'it', 'could']
538 ['it', 'could', 'land']
539 ['could', 'land', 'on']
540 ['land', 'on', 'a']
541 ['on', 'a', 'runway']
542 ['a', 'runway', 'it']
543 ['runway', 'it', 'would']
544 ['it', 'would', 'weigh']
545 ['would', 'weigh', 'about']
546 ['weigh', 'about', 'as']
547 ['about', 'as', 'much']
548 ['much', 'as', 'todays']
549 ['as', 'todays', 'jumbo']
550 ['todays', 'jumbo', 'jets']
551 ['jumbo', 'jets', 'but']
552 ['jets', 'but', 'may']
553 ['but', 'may', 'be']
554 ['may', 'be', 'a']
555 ['be', 'a', 'bit']
556 ['a', 'bit', 'smaller']
557 ['bit', 'smaller', 'the']
558 ['smaller', 'the', 'boosters']
559 ['the', 'boosters', 'main']
560 ['boosters', 'main', 'engines']
561 ['main', 'engines', 'would']
562 ['engines', 'would', 'operate']
563 ['would', 'operate', 'on']
564 ['operate', 'on', 'existing']
565 ['on', 'existing', 'fuels']
566 ['existing', 'fuels', 'either']
567 ['fuels', 'either', 'kerosene']
568 ['either', 'kerosene', 'or']
569 ['kerosene', 'or', 'liquid']
570 ['or', 'liquid', 'hydrogen']
571 ['liquid', 'hydrogen', 'and']
572 ['hydrogen', 'and', 'it']
573 ['and', 'it', 'might']
574 ['it', 'might', 'even']
575 ['might', 'even', 'make']
576 ['even', 'make', 'its']
577 ['make', 'its', 'own']
578 ['its', 'own', 'oxygen']
579 ['own', 'oxygen', 'in']
580 ['oxygen', 'in', 'flight']
581 ['in', 'flight', 'penn']
582 ['flight', 'penn', 'emphasized']
583 ['penn', 'emphasized', 'using']
584 ['emphasized', 'using', 'fuels']
585 ['using', 'fuels', 'that']
586 ['fuels', 'that', 'can']
587 ['that', 'can', 'be']
588 ['can', 'be', 'handled']
589 ['be', 'handled', 'easily']
590 ['handled', 'easily', 'on']
591 ['easily', 'on', 'earth']
592 ['on', 'earth', 'between']
593 ['earth', 'between', 'flights']
594 ['between', 'flights', 'and']
595 ['flights', 'and', 'both']
596 ['and', 'both', 'kerosene']
597 ['both', 'kerosene', 'and']
598 ['kerosene', 'and', 'hydrogen']
599 ['and', 'hydrogen', 'have']
600 ['hydrogen', 'have', 'a']
601 ['have', 'a', 'long']
602 ['a', 'long', 'history']
603 ['long', 'history', 'of']
604 ['history', 'of', 'safe']
605 ['of', 'safe', 'handling']
606 ['safe', 'handling', 'and']
607 ['handling', 'and', 'remote']
608 ['and', 'remote', 'loading']
609 ['remote', 'loading', 'the']
610 ['loading', 'the', 'second']
611 ['the', 'second', 'stage']
612 ['second', 'stage', 'would']
613 ['stage', 'would', 'be']
614 ['would', 'be', 'either']
615 ['be', 'either', 'a']
616 ['either', 'a', 'similar']
617 ['a', 'similar', 'winged']
618 ['similar', 'winged', 'booster']
619 ['winged', 'booster', 'with']
620 ['booster', 'with', 'a']
621 ['with', 'a', 'small']
622 ['a', 'small', 'cargo']
623 ['small', 'cargo', 'bay']
624 ['cargo', 'bay', 'or']
625 ['bay', 'or', 'a']
626 ['or', 'a', 'second']
627 ['a', 'second', 'stage']
628 ['second', 'stage', 'holding']
629 ['stage', 'holding', 'a']
630 ['holding', 'a', 'satellite']
631 ['a', 'satellite', 'if']
632 ['satellite', 'if', 'the']
633 ['if', 'the', 'design']
634 ['the', 'design', 'is']
635 ['design', 'is', 'versatile']
636 ['is', 'versatile', 'enough']
637 ['versatile', 'enough', 'then']
638 ['enough', 'then', 'two']
639 ['then', 'two', 'first']
640 ['two', 'first', 'stage']
641 ['first', 'stage', 'boosters']
642 ['stage', 'boosters', 'could']
643 ['boosters', 'could', 'be']
644 ['could', 'be', 'combined']
645 ['be', 'combined', 'to']
646 ['combined', 'to', 'launch']
647 ['to', 'launch', 'a']
648 ['launch', 'a', 'particularly']
649 ['a', 'particularly', 'large']
650 ['particularly', 'large', 'payload']
651 ['large', 'payload', 'getting']
652 ['payload', 'getting', 'that']
653 ['getting', 'that', 'kind']
654 ['that', 'kind', 'of']
655 ['kind', 'of', 'design']
656 ['of', 'design', 'will']
657 ['design', 'will', 'start']
658 ['will', 'start', 'with']
659 ['start', 'with', 'combining']
660 ['with', 'combining', 'new']
661 ['combining', 'new', 'technologies']
662 ['new', 'technologies', 'rather']
663 ['technologies', 'rather', 'than']
664 ['rather', 'than', 'trying']
665 ['than', 'trying', 'to']
666 ['trying', 'to', 'come']
667 ['to', 'come', 'up']
668 ['come', 'up', 'with']
669 ['up', 'with', 'a']
670 ['with', 'a', 'single']
671 ['a', 'single', 'revolutionary']
672 ['single', 'revolutionary', 'invention']
673 ['revolutionary', 'invention', 'penn']
674 ['invention', 'penn', 'said']
675 ['penn', 'said', 'pulse']
676 ['said', 'pulse', 'detonation']
677 ['pulse', 'detonation', 'engines']
678 ['detonation', 'engines', 'powering']
679 ['engines', 'powering', 'a']
680 ['powering', 'a', 'waverider-type']
681 ['a', 'waverider-type', 'craft']
682 ['waverider-type', 'craft', 'made']
683 ['craft', 'made', 'from']
684 ['made', 'from', 'carbon']
685 ['from', 'carbon', 'nanotubes']
686 ['carbon', 'nanotubes', 'would']
687 ['nanotubes', 'would', 'be']
688 ['would', 'be', 'a']
689 ['be', 'a', 'possible']
690 ['a', 'possible', 'combination']
691 ['possible', 'combination', 'designers']
692 ['combination', 'designers', 'also']
693 ['designers', 'also', 'must']
694 ['also', 'must', 'focus']
695 ['must', 'focus', 'on']
696 ['focus', 'on', 'modular']
697 ['on', 'modular', 'concepts']
698 ['modular', 'concepts', 'that']
699 ['concepts', 'that', 'give']
700 ['that', 'give', 'operators']
701 ['give', 'operators', 'flexibility']
702 ['operators', 'flexibility', 'but']
703 ['flexibility', 'but', 'mostly']
704 ['but', 'mostly', 'they']
705 ['mostly', 'they', 'need']
706 ['they', 'need', 'to']
707 ['need', 'to', 'come']
708 ['up', 'with', 'space-worthy']
709 ['with', 'space-worthy', 'craft']
710 ['space-worthy', 'craft', 'that']
711 ['craft', 'that', 'operate']
712 ['that', 'operate', 'like']
713 ['operate', 'like', 'airplanes']
714 ['like', 'airplanes', 'with']
715 ['airplanes', 'with', 'one']
716 ['with', 'one', 'kind']
717 ['one', 'kind', 'designed']
718 ['kind', 'designed', 'for']
719 ['designed', 'for', 'space']
720 ['for', 'space', 'operations']
721 ['space', 'operations', 'and']
722 ['operations', 'and', 'another']
723 ['and', 'another', 'destined']
724 ['another', 'destined', 'to']
725 ['destined', 'to', 'fly']
726 ['to', 'fly', 'in']
727 ['fly', 'in', 'and']
728 ['in', 'and', 'out']
729 ['and', 'out', 'of']
730 ['out', 'of', 'the']
731 ['of', 'the', 'atmosphere']
732 ['the', 'atmosphere', 'without']
733 ['atmosphere', 'without', 'going']
734 ['without', 'going', 'into']
735 ['going', 'into', 'orbit']
736 ['into', 'orbit', 'for']
737 ['orbit', 'for', 'carrying']
738 ['for', 'carrying', 'passengers']
739 ['carrying', 'passengers', 'and']
740 ['passengers', 'and', 'cargo']
741 ['and', 'cargo', 'between']
742 ['cargo', 'between', 'destinations']
743 ['between', 'destinations', 'on']
744 ['destinations', 'on', 'earth']
745 ['on', 'earth', 'its']
746 ['earth', 'its', 'going']
747 ['its', 'going', 'to']
748 ['going', 'to', 'be']
749 ['to', 'be', 'very']
750 ['be', 'very', 'challenging']
751 ['very', 'challenging', 'to']
752 ['challenging', 'to', 'build']
753 ['to', 'build', 'one']
754 ['build', 'one', 'vehicle']
755 ['one', 'vehicle', 'to']
756 ['vehicle', 'to', 'do']
757 ['to', 'do', 'both']
758 ['do', 'both', 'roles']
759 ['both', 'roles', 'penn']
760 ['roles', 'penn', 'said']
761 ['penn', 'said', 'in']
762 ['said', 'in', 'both']
763 ['in', 'both', 'cases']
764 ['both', 'cases', 'penn']
765 ['cases', 'penn', 'said']
766 ['penn', 'said', 'it']
767 ['said', 'it', 'is']
768 ['it', 'is', 'not']
769 ['is', 'not', 'necessarily']
770 ['not', 'necessarily', 'an']
771 ['necessarily', 'an', 'advantage']
772 ['an', 'advantage', 'to']
773 ['advantage', 'to', 'design']
774 ['to', 'design', 'a']
775 ['design', 'a', 'spacecraft']
776 ['a', 'spacecraft', 'that']
777 ['spacecraft', 'that', 'takes']
778 ['that', 'takes', 'off']
779 ['takes', 'off', 'from']
780 ['off', 'from', 'a']
781 ['from', 'a', 'runway']
782 ['a', 'runway', 'like']
783 ['runway', 'like', 'an']
784 ['like', 'an', 'airplane']
785 ['an', 'airplane', 'because']
786 ['airplane', 'because', 'additional']
787 ['because', 'additional', 'weight']
788 ['additional', 'weight', 'would']
789 ['weight', 'would', 'mean']
790 ['would', 'mean', 'the']
791 ['mean', 'the', 'craft']
792 ['the', 'craft', 'would']
793 ['craft', 'would', 'weigh']
794 ['would', 'weigh', 'up']
795 ['weigh', 'up', 'to']
796 ['up', 'to', 'three']
797 ['to', 'three', 'times']
798 ['three', 'times', 'more']
799 ['times', 'more', 'than']
800 ['more', 'than', 'a']
801 ['than', 'a', '747']
802 ['a', '747', 'or']
803 ['747', 'or', 'a380']
804 ['or', 'a380', 'there']
805 ['a380', 'there', 'is']
806 ['there', 'is', 'also']
807 ['is', 'also', 'the']
808 ['also', 'the', 'prospect']
809 ['the', 'prospect', 'of']
810 ['prospect', 'of', 'space']
811 ['of', 'space', 'tourism']
812 ['space', 'tourism', 'he']
813 ['tourism', 'he', 'believes']
814 ['he', 'believes', 'with']
815 ['believes', 'with', 'most']
816 ['with', 'most', 'of']
817 ['most', 'of', 'the']
818 ['of', 'the', 'demand']
819 ['the', 'demand', 'being']
820 ['demand', 'being', 'for']
821 ['being', 'for', 'going']
822 ['for', 'going', 'into']
823 ['into', 'orbit', 'instead']
824 ['orbit', 'instead', 'of']
825 ['instead', 'of', 'just']
826 ['of', 'just', 'going']
827 ['just', 'going', 'into']
828 ['going', 'into', 'space']
829 ['into', 'space', 'briefly']
830 ['space', 'briefly', 'we']
831 ['briefly', 'we', 'think']
832 ['we', 'think', 'theres']
